ID,Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Energy Resource Consumption,Train Products,Train Duration,Car CO2,Car Energy Resource Consumption,Car Products,Car Duration,Flight CO2,Flight Energy Resource Consumption,Flight Products,Flight Duration
Vienna to Paris,Vienna,Paris,"[48.206947, 16.34167]","[48.858395, 2.294254]",24.9,27.8,"RJX  262, ICE  596, ICE 9572",09:41,128.9,57.2,Car,10:10,176.2,74.1,"Car, Aircraft, Car",04:15
Vienna to Nantes,Vienna,Nantes,"[48.206947, 16.34167]","[47.217504, -1.541947]",27.3,38.3,"RJX  262, ICE  596, ICE 9572, Transfer, TGV 8135",13:24,167.5,74.4,Car,13:12,242.9,102.6,"Car, Aircraft, Car",09:58
Vienna to Lyon,Vienna,Lyon,"[48.206947, 16.34167]","[45.702291, 4.863775]",20.1,22.1,"RJX  260, Walk, EC   194, IC   722, TER96574",12:47,119.4,53.0,Car,10:25,156.5,65.8,"Car, Aircraft, Car",03:54
Vienna to Berlin,Vienna,Berlin,"[48.206947, 16.34167]","[52.520555, 13.386943]",25.9,14.6,"ICE   94, ICE  800",07:55,68.2,30.3,Car,05:57,116.0,48.8,"Car, Aircraft, Car",03:14
Vienna to Stockholm,Vienna,Stockholm,"[48.206947, 16.34167]","[59.33001, 18.05763]",54.8,44.1,"ICE   26, ICE  584, EN   346",22:37,155.5,69.0,Car,12:15,128.7,54.2,"Car, Aircraft, Car",04:54
Vienna to Budapest,Vienna,Budapest,"[48.206947, 16.34167]","[47.499999, 18.949998]",8.5,7.8,RJX  267,02:22,30.3,13.4,Car,02:59,111.5,47.0,"Car, Aircraft, Car",02:54
Vienna to Bucuresti,Vienna,Bucuresti,"[48.206947, 16.34167]","[44.43528, 26.102778]",60.8,41.3,"EN 50237, IC   375, 1822",20:38,111.8,49.7,Car,09:46,142.7,60.0,"Car, Aircraft, Car",03:23
Vienna to Rome,Vienna,Rome,"[48.206947, 16.34167]","[41.900555, 12.501388]",39.6,25.8,"RJ   131, FR  9425",11:43,100.2,44.5,Car,08:45,147.2,61.9,"Car, Aircraft, Car",03:47
Vienna to Madrid City,Vienna,Madrid City,"[48.206947, 16.34167]","[40.406386, -3.690836]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Istanbul,Vienna,Istanbul,"[48.206947, 16.34167]","[41.014722, 28.976665]",104.0,62.5,"RJX   61, 79, 1095, 463, 465, 493",41:54,159.6,70.9,Car,12:35,121.5,51.1,"Car, Aircraft, Car",04:10
Vienna to London,Vienna,London,"[48.206947, 16.34167]","[51.530888, -0.122918]",41.5,28.0,"ICE  228, ICE   14, ES  9157",13:27,154.4,68.6,Car,12:10,120.8,50.8,"Car, Aircraft, Car",04:22
Vienna to Graz,Vienna,Graz,"[48.206947, 16.34167]","[47.07222, 15.416392]",3.3,3.2,"RJ   131, 4027",02:54,20.1,8.9,Car,01:59,84.9,35.8,"Car, Aircraft, Car",02:35
Vienna to Kyiv,Vienna,Kyiv,"[48.206947, 16.34167]","[50.434357, 30.513973]",88.9,52.9,"RJ    74, EC   130, 52",19:24,132.0,58.6,Car,10:25,108.1,45.6,"Car, Aircraft, Car",04:22
Vienna to Hamburg,Vienna,Hamburg,"[48.206947, 16.34167]","[53.557218, 9.997497]",30.3,16.6,"ICE  228, ICE  880",09:16,97.0,43.1,Car,08:28,143.2,60.2,"Car, Aircraft, Car",03:30
Vienna to Barcelona,Vienna,Barcelona,"[48.206947, 16.34167]","[41.38444, 2.185278]",20.3,39.1,"EN 40462, IC   710, TER96562, AVI 9742",19:59,168.8,75.0,Car,13:18,131.8,55.4,"Car, Aircraft, Car",04:23
Vienna to Milan,Vienna,Milan,"[48.206947, 16.34167]","[45.486388, 9.204163]",28.7,19.3,"RJ   131, FR  9740",10:44,81.3,36.1,Car,07:06,135.6,57.1,"Car, Aircraft, Car",03:16
Vienna to Ljubljana,Vienna,Ljubljana,"[48.206947, 16.34167]","[46.058057, 14.51028]",9.6,8.0,EC   151,05:55,38.7,17.2,Car,03:49,105.9,44.6,"Car, Aircraft, Car",02:54
Vienna to Zurich,Vienna,Zurich,"[48.206947, 16.34167]","[47.37806, 8.540274]",10.6,11.8,RJX  368,07:45,77.1,34.2,Car,06:44,130.7,55.0,"Car, Aircraft, Car",03:17
Vienna to Bern,Vienna,Bern,"[48.206947, 16.34167]","[46.948888, 7.439167]",10.7,13.5,"RJX  368, IC   720",08:53,89.1,39.5,Car,07:47,143.5,60.7,"Car, Aircraft, Car",04:29
Vienna to Lisbon,Vienna,Lisbon,"[48.206947, 16.34167]","[38.767779, -9.098054]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Amsterdam,Vienna,Amsterdam,"[48.206947, 16.34167]","[52.378607, 4.900559]",36.1,19.2,"ICE  228, ICE  720, RE 20028, IC  3064",12:17,122.2,54.3,Car,10:40,163.0,68.5,"Car, Aircraft, Car",04:00
Vienna to Warszawa,Vienna,Warszawa,"[48.206947, 16.34167]","[52.228855, 21.003215]",49.7,19.7,"EC   106, Os 44766, EIP 4502, Walk",09:09,72.9,32.4,Car,06:22,120.1,50.5,"Car, Aircraft, Car",03:12
Vienna to Riga,Vienna,Riga,"[48.206947, 16.34167]","[56.946943, 24.120279]",134.1,63.6,"EC   100, TLK61190, IC   144, 200",39:33,138.1,61.4,Car,10:53,107.6,45.3,"Car, Aircraft, Car",04:04
Vienna to Napoli,Vienna,Napoli,"[48.206947, 16.34167]","[40.839163, 14.25139]",49.2,31.4,"RJ   131, FR  9425",13:17,109.5,48.6,Car,09:33,153.1,64.4,"Car, Aircraft, Car",03:44
Vienna to Oslo,Vienna,Oslo,"[48.206947, 16.34167]","[59.910282, 10.755279]",54.5,41.9,"ICE   26, ICE  584, EN   346, RE  1010, IC   386",26:25,169.0,75.1,Car,13:20,137.8,58.1,"Car, Aircraft, Car",05:02
Vienna to Bratislava,Vienna,Bratislava,"[48.206947, 16.34167]","[48.158333, 17.105834]",1.3,1.4,RE  2504,01:09,8.7,3.9,Car,01:16,N/A,N/A,N/A,N/A
Vienna to Luxembourg,Vienna,Luxembourg,"[48.206947, 16.34167]","[49.599996, 6.134167]",28.0,15.7,"ICE  228, RE  5106",10:28,99.6,44.2,Car,08:41,144.2,60.6,"Car, Aircraft, Car",03:21
Vienna to Kishinev,Vienna,Kishinev,"[48.206947, 16.34167]","[47.017476, 28.858169]",89.3,57.7,"NT   347, Transfer, 402",36:02,123.8,55.0,Car,10:48,159.7,67.2,"Car, Aircraft, Car",03:46
Vienna to Frankfurt,Vienna,Frankfurt,"[48.206947, 16.34167]","[50.107221, 8.663893]",15.8,9.6,ICE  228,06:16,78.0,34.6,Car,06:49,133.9,56.3,"Car, Aircraft, Car",03:27
Vienna to Geneva,Vienna,Geneva,"[48.206947, 16.34167]","[46.210281, 6.1425]",10.8,16.1,"RJX  368, IC   720",10:43,104.7,46.5,Car,09:08,150.8,63.4,"Car, Aircraft, Car",03:33
Vienna to Krakow,Vienna,Krakow,"[48.206947, 16.34167]","[50.068334, 19.947504]",30.1,13.2,"EC   108, IC  6302",05:48,47.1,20.9,Car,04:39,123.4,51.9,"Car, Aircraft, Car",03:05
Vienna to Leeds,Vienna,Leeds,"[48.206947, 16.34167]","[53.792223, -1.547502]",57.2,36.6,"ICE  228, ICE   14, ES  9157, Transfer, ---, ---",17:12,174.2,77.4,Car,13:44,288.9,121.9,"Car, Aircraft, Car",08:32
Vienna to Liverpool,Vienna,Liverpool,"[48.206947, 16.34167]","[53.404447, -2.976391]",58.9,37.5,"ICE  228, ICE   14, ES  9157, Transfer, ---",18:27,183.8,81.6,Car,14:30,280.3,118.4,"Car, Aircraft, Car",09:26
Vienna to Manchester,Vienna,Manchester,"[48.206947, 16.34167]","[53.358611, -2.267502]",57.7,36.9,"ICE  228, ICE   14, ES  9157, Transfer, ---, ---",17:23,178.0,79.1,Car,14:02,273.2,115.3,"Car, Aircraft",08:24
Vienna to Marseille,Vienna,Marseille,"[48.206947, 16.34167]","[43.302774, 5.380278]",15.4,33.4,"RJX  160, TGV 9226, TGV 9580",14:14,126.1,56.0,Car,09:56,169.6,71.8,"Car, Aircraft, Car",05:45
Vienna to Nice,Vienna,Nice,"[48.206947, 16.34167]","[43.704448, 7.261945]",40.0,27.5,"RJX  662, ECB   85, FR  9748, IC   689, TER86004",22:06,112.5,50.0,Car,09:49,148.9,62.6,"Car, Aircraft, Car",03:45
Vienna to Nottingham,Vienna,Nottingham,"[48.206947, 16.34167]","[52.945278, -1.144165]",52.3,33.9,"ICE  228, ICE   14, ES  9157, Transfer, ---",16:28,167.4,74.3,Car,13:12,278.2,117.4,"Car, Aircraft, Car",08:41
Vienna to Palermo,Vienna,Palermo,"[48.206947, 16.34167]","[38.109166, 13.36722]",82.0,51.0,"RJ   131, FR  9425, INI 1955",26:53,143.5,63.7,Car,11:19,113.5,47.8,"Car, Aircraft, Car",05:42
Vienna to Kosice,Vienna,Kosice,"[48.206947, 16.34167]","[48.721669, 21.267498]",12.5,15.4,"RE  2502, 603",07:36,51.8,23.0,Car,05:07,132.4,55.7,"Car, Aircraft, Car",02:54
Vienna to Rotterdam,Vienna,Rotterdam,"[48.206947, 16.34167]","[51.925002, 4.469446]",34.6,18.4,"ICE  228, ICE  720, RE 20082, IC  3764, IC  1162",11:26,123.1,54.7,Car,10:45,168.4,70.9,"Car, Aircraft, Car",04:48
Vienna to Seville,Vienna,Seville,"[48.206947, 16.34167]","[37.391944, -5.975274]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Sheffield,Vienna,Sheffield,"[48.206947, 16.34167]","[53.375834, -1.461943]",55.2,35.5,"ICE  228, ICE   14, ES  9157, Transfer, ---",16:41,171.7,76.2,Car,13:32,284.8,120.4,"Car, Aircraft, Car",09:38
Vienna to Valencia,Vienna,Valencia,"[48.206947, 16.34167]","[39.465, -0.377502]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Venice,Vienna,Venice,"[48.206947, 16.34167]","[45.437775, 12.317775]",16.5,12.0,RJ   131,07:22,61.0,27.1,Car,06:02,107.8,45.4,"Car, Aircraft, Car",03:16
Vienna to Verona,Vienna,Verona,"[48.206947, 16.34167]","[45.428336, 10.98222]",19.1,14.4,"RJX  660, ECB   83",08:23,66.8,29.6,Car,05:50,114.2,48.0,"Car, Aircraft, Car",03:18
Vienna to Vilnius,Vienna,Vilnius,"[48.206947, 16.34167]","[54.669723, 25.284723]",109.1,45.4,"EC   100, TLK61190, IC   144",22:24,124.0,55.1,Car,10:50,159.4,67.0,"Car, Aircraft, Car",03:50
Vienna to Wrocław,Vienna,Wrocław,"[48.206947, 16.34167]","[51.098057, 17.036392]",31.8,14.5,"EC   108, 892, RE  7159, RE  6282",08:05,45.9,20.4,Car,04:32,132.5,56.3,"Car, Aircraft, Car",04:55
Vienna to Zaragoza,Vienna,Zaragoza,"[48.206947, 16.34167]","[41.643886, -0.89111]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Gothenburg,Vienna,Gothenburg,"[48.206947, 16.34167]","[57.708886, 11.973335]",53.8,35.7,"ICE   26, ICE  584, EN   346, RE  1010",22:00,137.2,60.9,Car,10:49,109.1,45.9,"Car, Aircraft, Car",04:08
Vienna to Antwerp,Vienna,Antwerp,"[48.206947, 16.34167]","[51.21694, 4.420832]",28.1,18.7,"ICE  228, ICE   14, IC  4516",10:45,120.2,53.3,Car,10:29,161.1,67.8,"Car, Aircraft, Car",04:21
Vienna to Bilbao,Vienna,Bilbao,"[48.206947, 16.34167]","[43.26056, -2.928056]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Bologna,Vienna,Bologna,"[48.206947, 16.34167]","[44.506393, 11.341942]",23.8,16.4,"RJ   131, FR  9425",09:28,73.4,32.6,Car,06:24,123.3,51.8,"Car, Aircraft, Car",03:21
Vienna to Bordeaux,Vienna,Bordeaux,"[48.206947, 16.34167]","[44.825834, -0.556387]",31.0,44.8,"RJX  260, Walk, ICE 1218, TGV 9552, Transfer, TGV 8451",13:31,168.0,74.6,Car,13:15,283.2,119.5,"Car, Aircraft, Car",08:43
Vienna to Bristol,Vienna,Bristol,"[48.206947, 16.34167]","[51.446668, -2.580003]",51.1,33.3,"ICE  228, ICE   14, ES  9157, Transfer, ---, ---",17:11,175.1,77.8,Car,13:48,278.8,117.6,"Car, Aircraft, Car",08:43
Vienna to Cardiff,Vienna,Cardiff,"[48.206947, 16.34167]","[51.472782, -3.176392]",48.4,34.1,"ICE   28, ICE   12, ES  9167, Transfer, ---",24:16,180.3,80.1,Car,14:13,282.1,119.2,"Car, Aircraft, Car",09:12
Vienna to Cologne,Vienna,Cologne,"[48.206947, 16.34167]","[50.941393, 6.967224]",20.6,11.9,"ICE  228, ICE  108",07:44,96.9,43.0,Car,08:28,140.6,59.2,"Car, Aircraft, Car",03:29
Vienna to Dortmund,Vienna,Dortmund,"[48.206947, 16.34167]","[51.517782, 7.459168]",23.7,13.4,"ICE  228, ICE  108",09:02,96.1,42.7,Car,08:23,139.8,58.8,"Car, Aircraft, Car",03:19
Vienna to Duesseldorf,Vienna,Duesseldorf,"[48.206947, 16.34167]","[51.219996, 6.794443]",21.5,12.4,"ICE  228, ICE  108",08:12,99.8,44.3,Car,08:43,146.3,61.5,"Car, Aircraft, Car",03:28
Vienna to Basel,Vienna,Basel,"[48.206947, 16.34167]","[47.547498, 7.58944]",10.7,13.3,"RJX  368, TGV 9222",08:53,85.8,38.1,Car,07:29,127.4,53.6,"Car, Aircraft, Car",03:16
Vienna to Lausanne,Vienna,Lausanne,"[48.206947, 16.34167]","[46.516669, 6.629167]",10.8,15.1,"RJX  368, IC   720",10:06,98.6,43.8,Car,08:36,157.9,66.5,"Car, Aircraft, Car",04:34
Vienna to Malaga,Vienna,Malaga,"[48.206947, 16.34167]","[36.711946, -4.431943]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vienna to Maribor,Vienna,Maribor,"[48.206947, 16.34167]","[46.561948, 15.657501]",4.7,4.5,"855, 4101, RE  4431",06:31,26.6,11.8,Car,02:37,91.2,38.5,"Car, Aircraft, Car",03:30
Vienna to Pisa,Vienna,Pisa,"[48.206947, 16.34167]","[43.708052, 10.398056]",31.6,21.0,"RJ   131, FR  9425, RV  4045",11:20,88.6,39.4,Car,07:44,145.0,61.2,"Car, Aircraft, Car",04:57
Vienna to Edinburgh,Vienna,Edinburgh,"[48.206947, 16.34167]","[55.949724, -3.186667]",78.9,48.6,"RJ   820, 5900, ICE  928, ICE  314, ES  9147, Transfer, ---",23:49,197.6,87.8,Car,15:35,235.4,99.6,"Train, Aircraft, Train",07:45
Vienna to Cluj-Napoca,Vienna,Cluj-Napoca,"[48.206947, 16.34167]","[46.784997, 23.587218]",36.7,27.8,"EC   147, IC   407, 1837",13:43,74.1,32.9,Car,06:28,121.1,50.9,"Car, Aircraft, Car",03:29
Vienna to Split,Vienna,Split,"[48.206947, 16.34167]","[43.504725, 16.443059]",27.9,21.8,"RJX   63, IR  9603, IC   204, 1821",17:21,68.2,30.3,Car,05:57,125.3,52.7,"Car, Aircraft, Car",03:14
Vienna to Eindhoven,Vienna,Eindhoven,"[48.206947, 16.34167]","[51.442218, 5.480004]",29.9,16.3,"ICE  228, ICE  720, RE 20082, IC  3764",10:21,112.1,49.8,Car,09:47,159.1,67.2,"Car, Aircraft, Car",05:19
Torino to Vienna,Torino,Vienna,"[45.060282, 7.677498]","[48.206947, 16.34167]",34.4,22.8,"FR  9607, FR  9705, RJ   132",11:29,97.7,43.4,Car,08:32,137.6,58.2,"Car, Aircraft, Car",04:35
Torino to Porto,Torino,Porto,"[45.060282, 7.677498]","[41.149722, -8.585552]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Torino to Brussels,Torino,Brussels,"[45.060282, 7.677498]","[50.896393, 4.481941]",19.7,35.9,"FR  9519, EC    32, TGV 9770, Transfer, EUR 9363, IC  3717",11:22,90.1,40.0,Car,07:52,125.6,52.8,"Car, Aircraft",03:08
Torino to Sofia,Torino,Sofia,"[45.060282, 7.677498]","[42.71194, 23.320832]",103.5,68.0,"FR  9567, EN   235, EC   143, 79, 1091, RE  7623",45:09,160.0,71.1,Car,12:37,118.9,50.9,"Train, Aircraft, Train",04:38
Torino to Brno,Torino,Brno,"[45.060282, 7.677498]","[49.189171, 16.609719]",40.2,26.5,"FR  9607, FR  9705, RJ   132, RJ   372",14:36,106.7,47.4,Car,09:19,151.6,64.4,"Car, Aircraft, Car",05:49
Torino to Zagreb,Torino,Zagreb,"[45.060282, 7.677498]","[45.804445, 15.978892]",34.0,21.2,"FR  9607, FR  9707, EC   135, EC   213",14:47,85.4,38.0,Car,07:27,125.6,53.7,"Train, Aircraft, Train",04:01
Torino to Praha,Torino,Praha,"[45.060282, 7.677498]","[50.084712, 14.434923]",44.4,27.9,"FR  9519, FR  9710, FR  8502, RE 17154, 5217, RJX  565, 3806, 700",15:00,98.4,43.7,Car,08:36,134.9,57.0,"Car, Aircraft, Car",04:27
Torino to Copenhagen,Torino,Copenhagen,"[45.060282, 7.677498]","[55.673054, 12.565553]",57.5,33.0,"FR  9519, EC    32, IC   968, ICE   72, EN   346, IC  1488",20:50,153.6,68.3,Car,12:07,122.9,52.0,"Car, Aircraft, Car",04:52
Torino to Toulouse,Torino,Toulouse,"[45.060282, 7.677498]","[43.611113, 1.45361]",16.1,26.0,"RV  3119, TER86042, TGV 6850, IC  4766",12:44,68.0,30.2,Car,05:56,178.0,75.3,"Car, Aircraft, Car",07:05
Torino to Munich,Torino,Munich,"[45.060282, 7.677498]","[48.136948, 11.575275]",28.7,17.3,"FR  9607, FR  9705, ECB   88",08:16,63.6,28.3,Car,06:17,118.7,50.0,"Car, Aircraft, Car",03:46
Torino to Helsinki,Torino,Helsinki,"[45.060282, 7.677498]","[60.172218, 24.941111]",246.7,140.1,"FR  9519, EC    32, IC   968, ICE   72, EN   346, Transfer, ShiVikLi, 77948, IC   948",50:13,254.0,112.9,Car,20:01,185.4,79.1,"Train, Aircraft, Train",05:36
Torino to Osijek,Torino,Osijek,"[45.060282, 7.677498]","[45.552774, 18.683333]",43.0,27.2,"FR  9607, FR  9707, EC   135, EC   213, RE   747, RE  2600",24:20,112.8,50.1,Car,09:51,132.2,58.1,"Train, Aircraft, Train",06:20
Torino to Paris,Torino,Paris,"[45.060282, 7.677498]","[48.858395, 2.294254]",16.0,27.2,"FR  9607, EC    50, TGV 9218",09:38,76.3,33.9,Car,06:40,125.8,52.9,"Car, Aircraft, Car",03:25
Torino to Nantes,Torino,Nantes,"[45.060282, 7.677498]","[47.217504, -1.541947]",14.9,35.9,"FR  9391, Walk, EC   316, TGV 9222, Transfer, TGV 8931",13:09,97.8,43.5,Car,08:32,151.6,64.3,"Car, Aircraft, Car",05:13
Torino to Lyon,Torino,Lyon,"[45.060282, 7.677498]","[45.702291, 4.863775]",13.3,15.5,"FR  9519, EC    32, TER96564",07:12,32.7,14.6,Car,03:14,111.8,48.3,"Train, Aircraft, Train",03:43
Torino to Berlin,Torino,Berlin,"[45.060282, 7.677498]","[52.520555, 13.386943]",34.2,22.9,"RV  2043, RE 10246, 25592, IC   664, ICE   76, ICE  690, ICE  708",19:10,121.3,53.9,Car,10:35,154.6,65.3,"Car, Aircraft, Car",04:44
Torino to Stockholm,Torino,Stockholm,"[45.060282, 7.677498]","[59.33001, 18.05763]",60.7,49.8,"FR  9519, EC    32, IC   968, ICE   72, EN   346",26:47,216.6,96.2,Car,17:04,250.2,105.7,"Car, Aircraft, Car",09:19
Torino to Budapest,Torino,Budapest,"[45.060282, 7.677498]","[47.499999, 18.949998]",43.0,30.7,"FR  9607, FR  9705, RJ   132, RJX   67",14:02,119.3,53.0,Car,10:25,143.5,61.4,"Train, Aircraft, Train",04:18
Torino to Bucuresti,Torino,Bucuresti,"[45.060282, 7.677498]","[44.43528, 26.102778]",90.5,62.1,"FR  9715, ECB   86, RJX  869, NT   347",29:51,181.6,80.7,Car,14:19,136.4,57.5,"Train, Aircraft, Train",05:24
Torino to Rome,Torino,Rome,"[45.060282, 7.677498]","[41.900555, 12.501388]",30.6,18.2,"RV  2145, FA  8583",12:06,68.8,30.6,Car,06:00,117.3,49.4,"Car, Aircraft, Car",03:12
Torino to Madrid City,Torino,Madrid City,"[45.060282, 7.677498]","[40.406386, -3.690836]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Torino to Istanbul,Torino,Istanbul,"[45.060282, 7.677498]","[41.014722, 28.976665]",139.1,85.7,"FR  9567, EN   235, EC   143, 79, 1095, 463, 465, 493",58:24,222.9,99.0,Car,17:34,163.1,69.4,"Train, Aircraft, Train",05:17
Torino to London,Torino,London,"[45.060282, 7.677498]","[51.530888, -0.122918]",28.9,37.0,"FR  9519, EC    32, TGV 9268, Transfer, ES  9051",13:20,120.2,53.4,Car,10:30,149.0,63.0,"Train, Aircraft, Train",03:54
Torino to Graz,Torino,Graz,"[45.060282, 7.677498]","[47.07222, 15.416392]",31.3,19.8,"FR  9607, FR  9705, RJ   132, Walk, ICB  966",10:15,83.3,37.0,Car,07:17,150.1,65.8,"Train, Aircraft, Train",05:52
Torino to Kyiv,Torino,Kyiv,"[45.060282, 7.677498]","[50.434357, 30.513973]",119.0,72.9,"FR  9607, FR  9705, RJ   132, EC   100, IC  1023, IC   706",36:57,225.2,100.1,Car,17:45,165.9,71.1,"Train, Aircraft, Train",05:34
Torino to Hamburg,Torino,Hamburg,"[45.060282, 7.677498]","[53.557218, 9.997497]",38.2,23.2,"FR  9607, EC    50, ICE  278, ICE  586",13:36,125.2,55.6,Car,10:56,153.9,65.5,"Train, Aircraft, Train",04:14
Torino to Barcelona,Torino,Barcelona,"[45.060282, 7.677498]","[41.38444, 2.185278]",20.5,28.5,"RV  3119, TER86042, TGV 6168, IC  4770, TER86967, RE 15808, AVN34730",27:58,79.4,35.3,Car,06:56,131.5,55.4,"Train, Aircraft, Train",02:58
Torino to Milan,Torino,Milan,"[45.060282, 7.677498]","[45.486388, 9.204163]",6.1,3.7,FR  9607,00:50,17.9,8.0,Car,01:46,N/A,N/A,N/A,N/A
Torino to Ljubljana,Torino,Ljubljana,"[45.060282, 7.677498]","[46.058057, 14.51028]",29.2,17.8,"FR  9607, FR  9707, EC   135",09:40,71.1,31.6,Car,06:12,143.2,61.7,"Train, Aircraft, Train",04:44
Torino to Zurich,Torino,Zurich,"[45.060282, 7.677498]","[47.37806, 8.540274]",8.7,8.6,"FR  9607, EC   312",05:27,37.3,16.5,Car,03:41,118.2,50.0,"Car, Aircraft, Car",03:51
Torino to Bern,Torino,Bern,"[45.060282, 7.677498]","[46.948888, 7.439167]",10.7,10.7,"RV  2043, RE 11412, RE  4262",13:16,29.4,13.1,Car,02:54,N/A,N/A,N/A,N/A
Torino to Lisbon,Torino,Lisbon,"[45.060282, 7.677498]","[38.767779, -9.098054]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Torino to Amsterdam,Torino,Amsterdam,"[45.060282, 7.677498]","[52.378607, 4.900559]",37.9,23.0,"FR  9519, EC    32, IC   968, ICE  106, ICE  122",13:19,109.4,48.6,Car,09:33,160.3,67.7,"Car, Aircraft, Car",04:54
Torino to Warszawa,Torino,Warszawa,"[45.060282, 7.677498]","[52.228855, 21.003215]",88.7,44.1,"FR  9607, FR  9705, RJ   132, EC   100, TLK61190",23:50,157.5,70.0,Car,12:25,123.4,52.2,"Car, Aircraft, Car",05:01
Torino to Riga,Torino,Riga,"[45.060282, 7.677498]","[56.946943, 24.120279]",168.5,86.5,"FR  9607, FR  9705, RJ   132, EC   100, TLK61190, IC   144, 200",51:43,217.9,96.9,Car,17:11,156.8,66.8,"Train, Aircraft, Train",05:16
Torino to Napoli,Torino,Napoli,"[45.060282, 7.677498]","[40.839163, 14.25139]",39.5,23.5,"RV  2145, FA  8583, FR  8335",13:40,92.9,41.3,Car,08:07,132.5,55.8,"Train, Aircraft, Train",03:01
Torino to Oslo,Torino,Oslo,"[45.060282, 7.677498]","[59.910282, 10.755279]",60.4,47.7,"FR  9519, EC    32, IC   968, ICE   72, EN   346, RE  1010, IC   386",30:35,207.9,92.4,Car,16:24,155.8,66.7,"Train, Aircraft, Train",05:35
